LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source_no_validation,49.04,93.87,64.42
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source,84.20,91.42,87.67
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target_no_validation,46.45,94.85,62.36
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target,85.81,91.75,88.68
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/no_validation,89.16,91.16,90.15
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent,96.46,88.13,92.11
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent_filter,89.59,69.11,78.03
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/source_no_validation,47.45,92.02,62.61
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/source,81.62,91.09,86.10
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/target_no_validation,46.39,94.20,62.17
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/target,85.39,90.96,88.09
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/no_validation,90.03,89.31,89.67
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/llm_with_agent,96.35,87.07,91.48
gpt-4o-mini-2024-07-18,anatomy/mouse-human-suite/component/llm_with_agent_filter,88.97,66.14,75.88
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/source_no_validation,47.07,92.35,62.36
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/source,75.84,91.29,82.85
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/target_no_validation,38.02,93.54,54.06
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/target,79.47,91.69,85.15
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/no_validation,88.82,89.58,89.20
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_agent,95.61,87.66,91.47
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_agent_filter,87.05,68.06,76.40
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/source_no_validation,48.69,92.28,63.75
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/source,67.99,91.75,78.10
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/target_no_validation,43.36,93.54,59.26
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/target,68.66,91.75,78.54
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/no_validation,88.09,89.31,88.70
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_agent,93.17,88.19,90.61
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_agent_filter,80.69,69.28,74.55
mistral-small-2402,anatomy/mouse-human-suite/component/source_no_validation,47.60,91.49,62.62
mistral-small-2402,anatomy/mouse-human-suite/component/source,73.10,90.90,81.03
mistral-small-2402,anatomy/mouse-human-suite/component/target_no_validation,47.53,93.21,62.95
mistral-small-2402,anatomy/mouse-human-suite/component/target,75.39,91.75,82.77
mistral-small-2402,anatomy/mouse-human-suite/component/no_validation,87.41,88.85,88.13
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_agent,94.48,88.13,91.19
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_agent_filter,84.11,69.28,75.98
mistral:7b,anatomy/mouse-human-suite/component/source_no_validation,43.59,90.24,58.79
mistral:7b,anatomy/mouse-human-suite/component/source,62.87,89.58,73.88
mistral:7b,anatomy/mouse-human-suite/component/target_no_validation,35.27,91.95,50.99
mistral:7b,anatomy/mouse-human-suite/component/target,64.61,88.98,74.86
mistral:7b,anatomy/mouse-human-suite/component/no_validation,87.14,86.74,86.94
mistral:7b,anatomy/mouse-human-suite/component/llm_with_agent,93.34,85.03,88.99
mistral:7b,anatomy/mouse-human-suite/component/llm_with_agent_filter,79.86,61.61,69.56
llama3:8b,anatomy/mouse-human-suite/component/source_no_validation,46.13,90.37,61.08
llama3:8b,anatomy/mouse-human-suite/component/source,69.09,86.68,76.89
llama3:8b,anatomy/mouse-human-suite/component/target_no_validation,41.34,92.88,57.21
llama3:8b,anatomy/mouse-human-suite/component/target,67.07,86.81,75.68
llama3:8b,anatomy/mouse-human-suite/component/no_validation,89.18,88.06,88.62
llama3:8b,anatomy/mouse-human-suite/component/llm_with_agent,94.05,81.33,87.23
llama3:8b,anatomy/mouse-human-suite/component/llm_with_agent_filter,79.95,52.88,63.66
gemma2:9b,anatomy/mouse-human-suite/component/source_no_validation,46.83,91.09,61.86
gemma2:9b,anatomy/mouse-human-suite/component/source,60.47,92.22,73.04
gemma2:9b,anatomy/mouse-human-suite/component/target_no_validation,40.49,92.55,56.33
gemma2:9b,anatomy/mouse-human-suite/component/target,61.54,93.40,74.19
gemma2:9b,anatomy/mouse-human-suite/component/no_validation,87.66,88.13,87.89
gemma2:9b,anatomy/mouse-human-suite/component/llm_with_agent,90.78,89.64,90.21
gemma2:9b,anatomy/mouse-human-suite/component/llm_with_agent_filter,75.98,74.52,75.24
qwen2:7b,anatomy/mouse-human-suite/component/source_no_validation,44.86,90.17,59.92
qwen2:7b,anatomy/mouse-human-suite/component/source,67.40,88.39,76.48
qwen2:7b,anatomy/mouse-human-suite/component/target_no_validation,39.22,90.63,54.75
qwen2:7b,anatomy/mouse-human-suite/component/target,69.50,87.93,77.64
qwen2:7b,anatomy/mouse-human-suite/component/no_validation,85.89,86.35,86.12
qwen2:7b,anatomy/mouse-human-suite/component/llm_with_agent,93.56,83.38,88.18
qwen2:7b,anatomy/mouse-human-suite/component/llm_with_agent_filter,79.32,56.89,66.26
